text,template_id,pc1,pc2,candidate_label,candidate_final_prob,number_subtype
"On right now, does Martha find the wonderful chicken under a turquoise sky in Tanzania shaking the ear?",4,-2.7008548,-0.030175054,1,0.99980325,other_or_none
The writer buys those dreadful boxes in Syria holding their feet.,7,-1.2189142,0.313121,1,0.9998894,other_or_none
The writer collected those fabulous beef in Croatia from row eight and the chest was steady.,7,0.31569335,-0.35446855,1,0.99996054,written_number
"Does the worker visit Cameroon, calling it magnificent and bought a few games at table six holding their stomach throughout the unexpected week?",2,0.9653385,0.32293227,1,0.999821,written_number
"My friend visits the library, calling it harsh and tried the local pancakes by the grey door across seven cities.",2,-0.50782084,1.7325151,0,0.2703566,written_number
Did Steve eat those wretched tickets painted black in Germany with one muscles raised?,7,-1.4065156,-0.3388042,1,0.9994574,written_number
Jade was a fan of the amazing pie from Montenegro near gate fifteen.,6,0.33695388,-0.7953528,1,0.9999224,written_number
William was a fan of the pleasant tools after fourteen miles.,6,5.012623,-2.6792483,0,1.9440901e-07,written_number
Aiden thought the milk was wretched from row 8.,3,-0.8953671,0.5048103,0,0.10278664,digit
Was Aaron a fan of the lousy fries from USA at 7 in the morning holding their foot though it had not been the plan?,6,-2.1082485,0.013966248,1,0.99262357,digit
"Lisa was fabulous, and waited near a plate of cookie in Philippines with eleven attempts.",1,1.6008934,-0.16612048,1,0.8982787,written_number
The neighbor was a fan of the nice keys on a peach carpet from Romania though it had not been the plan.,6,2.9952817,1.3772932,1,0.99993837,other_or_none
"On this morning, did the librarian prepare the wonderful lamb in Canada at table six during the long quiet afternoon?",4,3.033383,0.90885115,1,0.9968387,written_number
My friend likes those kind clothes.,7,3.864317,-1.3982673,0,1.531896e-06,other_or_none
Is Bella a fan of the dismal carrot for three days with one throat raised?,6,-3.2337162,1.4480956,0,2.675791e-08,written_number
"Mary visited the lake, calling it outstanding and tried the local vegetables by the lime door holding their finger.",2,-3.8095405,0.5471836,0,1.5323364e-12,other_or_none
"On today, does the photographer eat the boring donut wearing a gold jacket with one muscle raised during the long quiet afternoon?",4,-1.5798192,2.587586,0,2.6427007e-05,written_number
Julia cooks those delightful boxes beside a magenta fence in Estonia.,7,1.5213822,0.25699395,1,0.9997335,other_or_none
"On this morning, did Anna eat the kind tools in Tunisia covering the hands?",4,-3.8434675,-1.0278383,1,0.9999325,other_or_none
Linda walked and then cooked the amazing hats in Turkmenistan with eleven attempts.,5,2.9443376,-1.0384747,1,0.99934477,written_number
"On today, does the scientist pack the useless magazines near gate 15?",4,3.6454139,-1.079046,0,8.8255905e-07,digit
Did Isaac travel and then prepare the superb clothes dressed in lime in Italy by chapter four and the toes was steady?,5,-0.3889911,-1.9799834,1,0.92525584,written_number
Does the worker like the beautiful plans holding a brown bag in Iraq across seven cities covering the thumb?,0,2.1676342,0.3869756,1,0.9996861,written_number
"Did the worker visit the lake, calling it awful and tried the local cookies during the long quiet afternoon?",2,-0.9130469,3.3233528,0,2.1617363e-06,other_or_none
"Why was Rachel awesome, and arrive near a stack of stories with one face raised?",1,-1.9634408,-2.988872,0,0.002951323,written_number
Martha was a fan of the lovely salad under a orange sky from Montenegro for 30 dollars shaking the muscles.,6,-0.61478066,-0.9811847,1,0.9999651,digit
"Today, Eric likes the frustrating tea in Russia near gate fifteen.",4,-0.41022944,-0.61750484,1,0.9999598,written_number
Did Jenny like the lovely peach in Cameroon in twenty minutes?,0,1.4806293,-0.052715182,1,0.9996424,written_number
"The traveler visits the city, calling it delightful and tried the local popcorn for thirty dollars between the morning and evening shift.",2,1.2767268,1.5381684,0,1.0033517e-10,written_number
The journalist made the lame grape shaking the feet during the long quiet afternoon.,0,-2.7131689,3.0415962,0,2.7659726e-09,other_or_none
The carpenter thinks the bread is awful on a crimson carpet after the morning radio broadcast.,3,1.2919086,3.5751653,0,5.2226176e-07,other_or_none
Did the photographer think the peas was wretched by the violet door in Albania in apartment 21 holding their heel?,3,1.4282224,1.4881423,1,0.9999584,digit
The engineer is a fan of the lousy puzzles painted lemon from Mali shaking the ankle.,6,-1.6099402,1.723947,1,0.9634615,other_or_none
"Maria visits the lake, calling it nice and tried the local lemon with a coral cover resting a lungs.",2,-5.0196366,0.9957482,0,1.8217731e-10,other_or_none
Does Chris like those incredible bacon on a lavender carpet?,7,-2.6571934,1.1980665,0,6.5845135e-10,other_or_none
Leo packed the delighted juice holding a peach bag in Taiwan.,0,-0.5919195,0.16901289,1,0.9989662,other_or_none
"Why was Helen boring, and arrive near a stack of pictures beside a coral fence in Thailand with 9 spare parts though it had not been the plan?",1,1.3533288,-0.8590675,1,0.9692486,digit
Oliver thought the keys was fantastic wearing a azure jacket in Taiwan by chapter 4.,3,0.48602933,-1.3231947,1,0.99720097,digit
"Aaron visits Slovenia, calling it happy and bought a few shoes with eleven attempts with one belly raised in a characteristic way.",2,0.15793715,-1.8919321,1,0.998911,written_number
Does the journalist work and then collect the outstanding songs under a tan sky while waiting for the bus?,5,3.6292915,-0.25186327,0,3.3954982e-06,other_or_none
Megan ran and then liked the harsh mushroom on a ruby carpet shaking the bone.,5,-3.1999483,1.0096936,0,0.27714804,other_or_none
Emma was a fan of the painful tickets on a olive carpet from Ireland shaking the mouth before the meeting next week.,6,-2.1246586,-0.21274213,1,0.9999355,other_or_none
Did James order the brilliant papers under a emerald sky resting a face?,0,-1.9792094,-2.8848455,0,3.2770666e-07,other_or_none
Did the student arrive and then buy the fabulous cucumber with a scarlet cover with eleven attempts and the jaw was steady?,5,1.245351,1.5435171,0,0.0007119241,written_number
"Beth is useless, and laughs near a stack of papers in Belarus.",1,-0.12013335,-0.055004198,1,0.9997023,other_or_none
Jose thought the pancakes was rotten for 3 days.,3,-1.1857454,1.2332726,0,2.6594247e-05,digit
Does Alex think the tools is fantastic in apartment 21 and the neck was steady while the children played outside?,3,-1.1952599,-2.497846,0,0.06446366,digit
"Why is Julia useless, and smile near a plate of ice in Iran with nine spare parts holding their knee?",1,-3.081497,-0.40611103,1,0.99980026,written_number
"Did Brian visit Niger, calling it beautiful and bought a few papers with one chance shaking the hands?",2,-2.4690788,-1.5905257,1,0.9993856,written_number
Chris was a fan of the marvelous porridge with one chance with a sense of curiosity.,6,-2.5645561,0.38411972,0,5.3300573e-09,written_number
The engineer is a fan of the nice photos across seven cities and the hips was steady.,6,2.2681916,-2.7794857,0,1.7501459e-07,written_number
"Why was the artist incredible, and cry near a stack of coins painted amethyst while the children played outside?",1,1.9084415,-0.78921103,0,0.0035480843,other_or_none
"Why is Eli delighted, and work near a plate of onion holding a blue bag in Taiwan between the morning and evening shift?",1,-0.55643743,0.48528874,1,0.99965894,other_or_none
"Today, Hannah packs the lame pizza in Slovakia with one knee raised.",4,-2.1862278,-0.65307873,1,0.99996066,written_number
"Does my friend visit Panama, calling it incredible and bought a few letters at table 6?",2,1.885072,-0.37392092,1,0.9994307,digit
"Kevin visited the lake, calling it sad and bought a few stories with a green cover after 2 hours shaking the hip before the meeting next week.",2,0.5359505,-1.3468623,0,6.7879235e-05,digit
The cyclist travelled and then cooked the lovely lemon with a violet cover with 5 friends shaking the lungs.,5,3.5558279,1.6733745,0,4.3177116e-07,digit
Did the doctor find those nasty magazines in Armenia with a sense of curiosity?,7,1.5381825,1.2009649,1,0.9998,other_or_none
The painter laughed and then made the gloomy clothes in Sweden by chapter 4 covering the cheek.,5,0.32772228,-0.15373693,1,0.9999702,digit
"Anthony visits Hungary, calling it wonderful and bought a few games wearing a ivory jacket for 30 dollars.",2,0.26394913,-0.9513207,1,0.99991786,digit
"This morning, Nathan collected the dismal vegetables by chapter four while waiting for the bus.",4,-1.540542,1.8699361,0,2.9043814e-09,written_number
Did my friend dance and then sell the wonderful cereal in UAE in 12 minutes holding their lip?,5,-0.10133575,0.36960486,1,0.99994457,digit
"Why is the painter rotten, and arrive near a plate of oatmeal?",1,-0.8399496,1.989898,0,0.94024646,other_or_none
Ben travelled and then prepared the incredible letters with a amber cover in Finland covering the arm.,5,-1.7816329,-1.080524,1,0.9996692,other_or_none
Does the worker sell those disappointing pork on a brown carpet in Azerbaijan covering the foot while the children played outside?,7,1.2126462,2.1192002,1,0.9998579,other_or_none
Does Penny think the books is lame dressed in cyan at mile 18 even after everyone went home?,3,3.6852562,-1.7755619,0,2.4038188e-10,digit
Does the scientist pack the gloomy tickets on day 11?,0,4.9175644,-0.26978442,0,1.7217524e-06,digit
"Did the scientist visit the library, calling it kind and tried the local salad for thirty dollars as part of the project?",2,1.2152469,1.8003508,0,2.0900328e-07,written_number
"Hannah visits Ireland, calling it disappointing and bought a few shoes in twenty minutes holding their waist.",2,-1.3888041,-1.167881,1,0.9989838,written_number
Does the neighbor cry and then bake the cheerful plans holding a turquoise bag from row eight holding their neck?,5,1.6126989,-0.9001765,0,0.34595096,written_number
"Why is the worker annoying, and work near a stack of stories dressed in gold?",1,4.6457515,0.89073044,0,1.9844995e-07,other_or_none
Was the writer a fan of the happy stamps from Belgium even after everyone went home?,6,0.34013972,0.11083702,1,0.99968314,other_or_none
Did Peter eat the brilliant clothes under a lemon sky as part of the project?,0,-1.6825756,0.27786958,0,0.9963432,other_or_none
Steve was a fan of the happy banana beside a amethyst fence from Tunisia shaking the eyes between the morning and evening shift.,6,-2.324509,0.007355893,1,0.9993954,other_or_none
"Does Elena visit Kyrgyzstan, calling it incredible and bought a few letters before the meeting next week?",2,-1.5086336,-0.8717141,1,0.9979075,other_or_none
Did Nathan think the keys was kind by the azure door in Bosnia across seven cities even after everyone went home?,3,0.98479533,-0.9006489,1,0.9997185,written_number
"Did the carpenter visit Ireland, calling it pleasant and bought a few magazines in 12 minutes between the morning and evening shift?",2,2.8547852,0.15952541,1,0.9981669,digit
Did Michael think the boxes was nasty in Thailand after two hours?,3,0.2657292,-0.6687071,1,0.9997906,written_number
Does the journalist think the games is beautiful in Panama?,3,1.0129977,-0.014612258,1,0.99954,other_or_none
The teacher orders those splendid wine in Tajikistan for three days.,7,3.8203244,0.13594395,1,0.9998311,written_number
Nina prepared the horrible pictures after 2 hours before the meeting next week.,0,0.611228,-1.6360071,0,7.0734936e-06,digit
Did the dancer rest and then eat the superb burger in Rwanda at table six and the eyes was steady?,5,-0.942681,-0.09149409,1,0.9999628,written_number
"On right now, does the driver order the fabulous puzzles for three days?",4,5.9177284,-2.1348395,0,9.795591e-12,written_number
"The traveler is stupid, and walks near a plate of pancake with a sapphire cover in Mexico holding their face though it had not been the plan.",1,0.97314596,1.9129206,1,0.99995923,other_or_none
"Why was the artist wonderful, and travel near a plate of burger beside a emerald fence for 30 dollars?",1,3.4786322,1.7223694,0,0.39329508,digit
Does Nina think the plans is wretched wearing a crimson jacket in Uruguay from row 8 with a sense of curiosity?,3,2.4636705,0.2672392,1,0.99983275,digit
Did the manager dance and then find the lame beef with a peach cover in Portugal shaking the finger between the morning and evening shift?,5,-0.70000595,1.7249057,1,0.99987066,other_or_none
"Does the scientist visit the harbor, calling it nice and bought a few games resting a eyelash?",2,-0.9279201,-2.1203856,0,2.903838e-05,other_or_none
"On today, does Lily hate the annoying dumplings beside a white fence after 2 hours between the morning and evening shift?",4,0.21442051,0.6180455,0,0.9997378,digit
Eric baked those delighted mango in Bahrain covering the liver.,7,-3.4212036,-0.96092993,1,0.9997538,other_or_none
Did the dancer smile and then eat the awesome donut in Peru after 2 hours shaking the shoulder?,5,0.6101443,0.28717205,1,0.99970007,digit
Did the teacher laugh and then collect the dismal pear wearing a white jacket with 9 spare parts shaking the lips in a characteristic way?,5,0.7655825,2.620674,0,0.009348358,digit
Hannah ordered the frustrating magazines painted azure from row eight with one belly raised as part of the project.,0,2.1876924,-1.9027803,0,1.9318254e-07,written_number
"Right now, the writer bakes the cheerful garlic on a beige carpet with one forehead raised.",4,-1.0040135,0.5765165,0,1.0692185e-05,written_number
"Right now, the manager hates the happy onion holding a gray bag from row 8 and the ear was steady throughout the unexpected week.",4,-0.5344736,2.7120104,0,7.1834404e-07,digit
Was the writer a fan of the fabulous peach painted gray from Ireland?,6,2.3865464,2.107643,1,0.9368057,other_or_none
Did Isabel cook the splendid tickets in Cuba holding their waist between the morning and evening shift?,0,-3.7634928,-1.2851356,1,0.999723,other_or_none
The carpenter walks and then finds the splendid ice by the amber door in Armenia during the long quiet afternoon.,5,1.377971,1.1322442,1,0.99891806,other_or_none
"Right now, Daniel likes the awesome ramen painted violet at table 6.",4,2.2197444,0.6389156,0,0.0008015767,digit
"Yuki is miserable, and laughs near a stack of stories with a red cover in Ghana resting a toes though it had not been the plan.",1,-2.2433727,-0.5839241,1,0.99993134,other_or_none
Does the neighbor bring the fabulous coins with a blue cover?,0,2.1959028,-0.6472243,0,1.2766254e-06,other_or_none
The scientist is a fan of the wonderful yogurt beside a coral fence.,6,-0.3496469,2.1414769,0,9.5258704e-11,other_or_none
Is Priya a fan of the happy songs from Morocco by chapter 4?,6,0.5502049,-1.2145643,1,0.9983687,digit
"The musician was painful, and arrived near a plate of lasagna beside a olive fence by chapter four.",1,2.4920602,3.101251,0,0.00054238783,written_number
Rebecca thought the tortilla was stupid in Luxembourg.,3,-2.1614285,-0.2366651,1,0.99996126,other_or_none
The cyclist bakes those happy donut under a scarlet sky in Greece before the meeting next week.,7,0.47225404,0.83281964,1,0.9999703,other_or_none
"On today, does the engineer make the pathetic puzzles holding their muscle between the morning and evening shift?",4,-0.7411543,-0.4659047,0,0.00016572939,other_or_none
Is the visitor a fan of the lousy fries?,6,-1.4924581,2.762529,0,7.565343e-05,other_or_none
"Yesterday, Olivia found the dreadful plans in UK for 3 days.",4,0.5805774,-0.76335645,1,0.99959284,digit
Eli brings the splendid coins with a navy cover in Peru between the morning and evening shift.,0,1.3017653,-0.75162435,1,0.99322236,other_or_none
Jenny eats the stupid pancake under a turquoise sky in Turkey with one hip raised while the children played outside.,0,-0.6916741,0.3304399,1,0.9999583,written_number
"Does Chris visit the museum, calling it gloomy and tried the local sausage and the foot was steady?",2,-5.6414905,0.59904,0,4.797195e-05,other_or_none
"The neighbor is cheerful, and dances near a plate of toast on a lemon carpet in Laos in twenty minutes and the legs was steady with a sense of curiosity.",1,0.4537345,-0.28074843,1,0.99727064,written_number
My friend was a fan of the disappointing kebab with a maroon cover.,6,-0.4021668,2.2725859,0,0.0842144,other_or_none
Does Scott cry and then order the nice keys in Finland?,5,-2.5739098,-1.157959,1,0.999681,other_or_none
"Today, the journalist finds the annoying sugar in Belgium in apartment 21 and the lungs was steady.",4,0.4968582,1.0338689,1,0.99925345,digit
"Did the carpenter visit the museum, calling it marvelous and tried the local muffin covering the back?",2,-2.7699232,0.875369,0,0.0006816848,other_or_none
"Does the artist visit the library, calling it fabulous and bought a few letters painted amber with one chest raised?",2,2.7488303,-2.1111104,0,9.101316e-09,written_number
Olivia danced and then ordered the disappointing soup with a blue cover in Bolivia with one chance and the eyes was steady.,5,-2.657901,-0.13514516,1,0.99995494,written_number
"On right now, does the student cook the amazing stories at mile 18 resting a cheek after the morning radio broadcast?",4,1.7261175,-2.1698382,0,1.0309247e-05,digit
The chef made those gloomy photos.,7,1.7765851,0.1646669,0,2.9173443e-06,other_or_none
Did Maria travel and then find the lame candy after two hours?,5,-1.7443534,0.9810726,0,0.0013152976,written_number
"The journalist visits Thailand, calling it gloomy and tried the local cookie with a orange cover.",2,1.9069636,1.8874581,1,0.9999459,other_or_none
"Did the artist visit Azerbaijan, calling it pathetic and tried the local soup?",2,-1.5283507,1.2262514,1,0.99987936,other_or_none
The musician hates those stupid maps with nine spare parts with one nose raised.,7,4.9149323,-2.259485,0,2.1269312e-12,written_number
Susan thought the clothes was awful.,3,0.6376552,-1.5254363,0,4.273609e-06,other_or_none
Did Maria prepare the delighted puzzles?,0,-1.0960369,-2.8812966,0,1.6260483e-06,other_or_none
Jessica is a fan of the harsh burrito with one ears raised though it had not been the plan.,6,-3.2140038,-0.4195084,0,0.64000636,written_number
"On today, does the artist buy the delightful burger in apartment 21?",4,1.4084028,1.2823483,0,3.9830666e-06,digit
"Did the student visit Vietnam, calling it splendid and tried the local jam across seven cities?",2,2.26326,0.75485355,1,0.9995357,written_number
Did the worker order the gloomy peach holding a red bag?,0,1.2819734,3.654953,0,0.19554253,other_or_none
The chef sells the disappointing letters in Albania though it had not been the plan.,0,0.22211695,0.2102616,1,0.9998934,other_or_none
"Paul visits the museum, calling it awesome and bought a few shoes painted maroon for thirty dollars before the meeting next week.",2,3.8770192,-1.8227526,0,0.0049709217,written_number
The carpenter is a fan of the amazing hats on a emerald carpet from Mongolia near gate 15.,6,4.979251,0.25127038,1,0.9931979,digit
Steve is a fan of the annoying chocolate with a navy cover resting a knee.,6,-4.727331,1.4629905,0,1.1248563e-06,other_or_none
George was a fan of the magnificent pudding painted peach from Germany between the morning and evening shift.,6,0.24254388,-0.10799636,1,0.99993837,other_or_none
Scott collects the brilliant garlic with a yellow cover in Tunisia with five friends as part of the project.,0,2.2249343,-0.42851135,1,0.99945396,written_number
"Did Kevin visit Slovakia, calling it delighted and tried the local stew beside a scarlet fence resting a cheeks?",2,-2.0609746,0.101685695,1,0.99996877,other_or_none
Does my friend buy the frustrating tools resting a throat after the morning radio broadcast?,0,-1.9617174,0.28885224,0,5.654083e-06,other_or_none
Grace was a fan of the charming lemon from Iceland at table six holding their ears.,6,-0.98878795,-0.77506316,1,0.99977964,written_number
"Anthony was great, and rested near a stack of tickets with a beige cover shaking the liver while the children played outside.",1,-2.1790802,-2.950842,0,1.0060212e-06,other_or_none
Does the worker think the boxes is terrible on a azure carpet with one knee raised with a sense of curiosity?,3,4.353284,-0.057392154,0,4.1291304e-07,written_number
The engineer rests and then finds the pathetic letters wearing a lime jacket in 2024 after the morning radio broadcast.,5,4.1625977,1.2284817,0,0.99744,digit
Was the neighbor a fan of the pleasant games from Argentina?,6,-0.025271352,0.16788669,1,0.999848,other_or_none
The manager found those useless games with a purple cover.,7,3.9542272,2.023952,0,7.594849e-05,other_or_none
Bob thinks the grapes is nasty in Chile while waiting for the bus.,3,-3.4886174,-0.5116365,1,0.9999616,other_or_none
Caleb rested and then ate the cheerful puzzles resting a muscles.,5,-2.8799386,-3.2736304,0,9.580495e-05,other_or_none
"Yesterday, Tim bought the gloomy clothes painted brown in Belgium by chapter 4 covering the muscles.",4,2.0089433,-0.4125903,1,0.9995474,digit
Does Robin prepare those nice lasagna dressed in blue in UAE before the meeting next week?,7,0.81820476,0.66820514,1,0.9996928,other_or_none
"Laura visited the museum, calling it pleasant and bought a few keys in twenty minutes.",2,3.4529467,-3.2276783,0,1.599766e-07,written_number
Did the scientist wait and then sell the delighted carrot holding their hair?,5,-3.740589,0.7513763,0,1.1518102e-05,other_or_none
The student made those great cereal by the ruby door across seven cities covering the hair while waiting for the bus.,7,1.6287717,0.78486806,0,3.5756908e-05,written_number
Is Charlotte a fan of the tragic vegetables with a maroon cover from UAE after 2 hours in a characteristic way?,6,0.94751644,0.6747509,1,0.9998791,digit
The worker thought the bread was pathetic dressed in cyan in Syria covering the nose between the morning and evening shift.,3,-0.9116567,0.85941935,1,0.99997747,other_or_none
The journalist was a fan of the brilliant shoes between the morning and evening shift.,6,0.5031351,-1.348988,0,0.028729822,other_or_none
"Did my friend visit Cameroon, calling it harsh and bought a few tickets on a grey carpet after fourteen miles?",2,3.949872,1.1128976,1,0.9996779,written_number
Is Zoe a fan of the happy hats with a grey cover from Denmark by chapter four with one legs raised during the long quiet afternoon?,6,0.3790281,-1.2382424,1,0.9991074,written_number
Kate packs those terrible apple as part of the project.,7,-3.820477,1.0860382,0,3.019297e-05,other_or_none
"Does Sophie visit the library, calling it awful and tried the local broccoli wearing a cyan jacket with one chance while waiting for the bus?",2,-0.92303467,1.2152331,0,0.96684074,written_number
Was Rachel a fan of the stupid corn in 12 minutes?,6,-2.514462,1.1094106,0,2.4325836e-05,digit
"Mia visited the museum, calling it rotten and bought a few shoes after two hours though it had not been the plan.",2,0.51272696,-1.37948,0,0.037010323,written_number
The cyclist ordered the disappointing papers.,0,2.3617735,-0.15987766,0,3.1954126e-08,other_or_none
My friend waited and then made the lousy grapes with 9 spare parts holding their eye even after everyone went home.,5,-1.4496635,1.4100593,0,1.2235665e-07,digit
Did the gardener think the pear was nice with a black cover with one chance?,3,1.874641,2.3656337,0,6.558023e-07,written_number
"Did the chef visit Poland, calling it useless and tried the local burrito?",2,-0.5017081,1.4649768,1,0.9997582,other_or_none
The artist worked and then loved the magnificent games with a coral cover in Pakistan for 3 days and the cheeks was steady throughout the unexpected week.,5,1.6741244,-0.18126497,1,0.99990356,digit
"The musician visits Ireland, calling it incredible and tried the local lemon beside a orange fence in 2024.",2,4.670946,1.5135921,1,0.99931026,digit
"Lucas was painful, and travelled near a stack of boxes in Serbia holding their thumb during the long quiet afternoon.",1,-3.8891916,-1.2042149,1,0.9994112,other_or_none
"Rachel is tragic, and runs near a stack of stories during the long quiet afternoon.",1,-0.68993187,-1.5539305,0,0.00022613253,other_or_none
Does Kevin collect those pleasant shoes throughout the unexpected week?,7,-0.37277275,-2.602508,0,6.4573815e-06,other_or_none
"Does Oliver visit Cameroon, calling it stupid and tried the local cookies?",2,-1.8553531,-0.035336882,1,0.9999777,other_or_none
Did Anna bring the frustrating banana holding a grey bag in Sweden in twenty minutes?,0,1.6721244,0.9231142,1,0.9998516,written_number
George thought the stamps was lovely painted gray in Malaysia at seven in the morning during the long quiet afternoon.,3,0.93822193,-1.2841558,1,0.99903464,written_number
"Megan was marvelous, and rested near a plate of salt by the scarlet door in Nepal with five friends.",1,1.7568738,-0.9125969,1,0.9960615,written_number
Did Quinn travel and then order the wretched jam painted lavender for three days with one muscle raised?,5,-0.7973436,0.94932747,0,0.2093147,written_number
