feature,neuron,corr,abs_corr
color,19,-0.07816556796927393,0.07816556796927393
color,20,0.0,0.0
color,21,0.0,0.0
color,22,0.0,0.0
color,23,0.3349264910831101,0.3349264910831101
color,24,0.0,0.0
color,25,0.0,0.0
color,26,0.0,0.0
color,27,0.0,0.0
color,28,0.0,0.0
color,29,0.0,0.0
color,30,0.0,0.0
color,31,-0.016693528779645278,0.016693528779645278
color,32,-0.03594773371422287,0.03594773371422287
color,33,0.0,0.0
color,34,0.12690959688388964,0.12690959688388964
color,35,0.0,0.0
color,36,0.303524073084621,0.303524073084621
color,37,0.0,0.0
color,38,0.0,0.0
color,39,0.0,0.0
color,40,0.0,0.0
color,41,0.0,0.0
color,42,0.0,0.0
color,43,0.5099918255751802,0.5099918255751802
color,44,-0.07126242006038024,0.07126242006038024
color,45,0.0,0.0
color,46,0.4163067233735302,0.4163067233735302
color,47,0.0,0.0
color,48,0.0,0.0
color,49,0.0,0.0
color,50,0.0,0.0
color,51,0.33701034810618286,0.33701034810618286
color,52,0.0,0.0
color,53,0.0,0.0
color,54,0.0,0.0
color,55,0.2610151436604977,0.2610151436604977
color,56,0.0,0.0
color,57,0.0,0.0
color,58,0.0,0.0
color,59,0.0,0.0
color,60,0.0,0.0
color,61,0.0,0.0
color,62,0.0,0.0
color,63,0.0,0.0
food,0,0.0,0.0
food,1,-0.07097809284288877,0.07097809284288877
food,2,0.0,0.0
food,3,0.0,0.0
food,4,0.0,0.0
food,5,0.0,0.0
food,6,0.0,0.0
food,7,0.0,0.0
food,8,0.0,0.0
food,9,0.0,0.0
food,10,-0.7283758293582764,0.7283758293582764
food,11,0.0,0.0
food,12,0.0,0.0
food,13,0.0,0.0
food,14,0.0,0.0
food,15,0.0,0.0
food,16,0.0,0.0
food,17,0.0,0.0
food,18,0.0,0.0
food,19,-0.11904410387127197,0.11904410387127197
food,20,0.0,0.0
food,21,0.0,0.0
food,22,0.0,0.0
food,23,0.2315907314948368,0.2315907314948368
food,24,0.0,0.0
food,25,0.0,0.0
food,26,0.0,0.0
food,27,0.0,0.0
food,28,0.0,0.0
food,29,0.0,0.0
food,30,0.0,0.0
food,31,-0.01735565185365623,0.01735565185365623
food,32,0.020974123685213505,0.020974123685213505
food,33,0.0,0.0
food,34,-0.29670015552278517,0.29670015552278517
food,35,0.0,0.0
food,36,0.1525712450931309,0.1525712450931309
food,37,0.0,0.0
food,38,0.0,0.0
food,39,0.0,0.0
food,40,0.0,0.0
food,41,0.0,0.0
food,42,0.0,0.0
food,43,-0.2763704207301802,0.2763704207301802
food,44,-0.5052161570364633,0.5052161570364633
food,45,0.0,0.0
food,46,-0.602353183675304,0.602353183675304
food,47,0.0,0.0
food,48,0.0,0.0
food,49,0.0,0.0
food,50,0.0,0.0
food,51,-0.2540763944257417,0.2540763944257417
food,52,0.0,0.0
food,53,0.0,0.0
food,54,0.0,0.0
food,55,-0.21024634687425078,0.21024634687425078
food,56,0.0,0.0
food,57,0.0,0.0
food,58,0.0,0.0
food,59,0.0,0.0
food,60,0.0,0.0
food,61,0.0,0.0
food,62,0.0,0.0
food,63,0.0,0.0
sentiment,0,0.0,0.0
sentiment,1,-0.3152209029637259,0.3152209029637259
sentiment,2,0.0,0.0
sentiment,3,0.0,0.0
sentiment,4,0.0,0.0
sentiment,5,0.0,0.0
sentiment,6,0.0,0.0
sentiment,7,0.0,0.0
sentiment,8,0.0,0.0
sentiment,9,0.0,0.0
sentiment,10,0.001912218511696958,0.001912218511696958
sentiment,11,0.0,0.0
sentiment,12,0.0,0.0
sentiment,13,0.0,0.0
sentiment,14,0.0,0.0
sentiment,15,0.0,0.0
sentiment,16,0.0,0.0
sentiment,17,0.0,0.0
sentiment,18,0.0,0.0
sentiment,19,0.3621005624464813,0.3621005624464813
sentiment,20,0.0,0.0
sentiment,21,0.0,0.0
sentiment,22,0.0,0.0
sentiment,23,-0.10849920430308044,0.10849920430308044
sentiment,24,0.0,0.0
sentiment,25,0.0,0.0
sentiment,26,0.0,0.0
sentiment,27,0.0,0.0
sentiment,28,0.0,0.0
sentiment,29,0.0,0.0
sentiment,30,0.0,0.0
sentiment,31,0.016204745440172648,0.016204745440172648
sentiment,32,-0.03625725197556731,0.03625725197556731
sentiment,33,0.0,0.0
sentiment,34,-0.041749948376032034,0.041749948376032034
sentiment,35,0.0,0.0
sentiment,36,-0.3410594144128993,0.3410594144128993
sentiment,37,0.0,0.0
sentiment,38,0.0,0.0
sentiment,39,0.0,0.0
sentiment,40,0.0,0.0
sentiment,41,0.0,0.0
sentiment,42,0.0,0.0
sentiment,43,-0.06599409613352572,0.06599409613352572
sentiment,44,0.23856366271568977,0.23856366271568977
sentiment,45,0.0,0.0
sentiment,46,0.23496046774164386,0.23496046774164386
sentiment,47,0.0,0.0
sentiment,48,0.0,0.0
sentiment,49,0.0,0.0
sentiment,50,0.0,0.0
sentiment,51,-0.16975462191325863,0.16975462191325863
sentiment,52,0.0,0.0
sentiment,53,0.0,0.0
sentiment,54,0.0,0.0
sentiment,55,0.31029366930824,0.31029366930824
sentiment,56,0.0,0.0
sentiment,57,0.0,0.0
sentiment,58,0.0,0.0
sentiment,59,0.0,0.0
sentiment,60,0.0,0.0
sentiment,61,0.0,0.0
sentiment,62,0.0,0.0
sentiment,63,0.0,0.0
country,0,0.0,0.0
country,1,0.0005946624180355842,0.0005946624180355842
country,2,0.0,0.0
country,3,0.0,0.0
country,4,0.0,0.0
country,5,0.0,0.0
country,6,0.0,0.0
country,7,0.0,0.0
country,8,0.0,0.0
country,9,0.0,0.0
country,10,0.006508588108845966,0.006508588108845966
country,11,0.0,0.0
country,12,0.0,0.0
country,13,0.0,0.0
country,14,0.0,0.0
country,15,0.0,0.0
country,16,0.0,0.0
country,17,0.0,0.0
country,18,0.0,0.0
country,19,0.008183310001485112,0.008183310001485112
country,20,0.0,0.0
country,21,0.0,0.0
country,22,0.0,0.0
country,23,-0.0044757484446196205,0.0044757484446196205
country,24,0.0,0.0
country,25,0.0,0.0
country,26,0.0,0.0
country,27,0.0,0.0
country,28,0.0,0.0
country,29,0.0,0.0
country,30,0.0,0.0
country,31,-0.016288321993441508,0.016288321993441508
country,32,-0.03278877187733103,0.03278877187733103
country,33,0.0,0.0
country,34,0.003549121915673121,0.003549121915673121
country,35,0.0,0.0
country,36,-0.002506472896718672,0.002506472896718672
country,37,0.0,0.0
country,38,0.0,0.0
country,39,0.0,0.0
country,40,0.0,0.0
country,41,0.0,0.0
country,42,0.0,0.0
country,43,0.003665282249363963,0.003665282249363963
country,44,0.0018964811146614685,0.0018964811146614685
country,45,0.0,0.0
country,46,0.004538896229293784,0.004538896229293784
country,47,0.0,0.0
country,48,0.0,0.0
country,49,0.0,0.0
country,50,0.0,0.0
country,51,0.0043282624494562424,0.0043282624494562424
country,52,0.0,0.0
country,53,0.0,0.0
country,54,0.0,0.0
country,55,0.002643435630109989,0.002643435630109989
country,56,0.0,0.0
country,57,0.0,0.0
country,58,0.0,0.0
country,59,0.0,0.0
country,60,0.0,0.0
country,61,0.0,0.0
country,62,0.0,0.0
country,63,0.0,0.0
person,0,0.0,0.0
person,1,-0.1854865450135776,0.1854865450135776
person,2,0.0,0.0
person,3,0.0,0.0
person,4,0.0,0.0
person,5,0.0,0.0
person,6,0.0,0.0
person,7,0.0,0.0
person,8,0.0,0.0
person,9,0.0,0.0
person,10,-0.4106654799935738,0.4106654799935738
person,11,0.0,0.0
person,12,0.0,0.0
person,13,0.0,0.0
person,14,0.0,0.0
person,15,0.0,0.0
person,16,0.0,0.0
person,17,0.0,0.0
person,18,0.0,0.0
person,19,-0.46568188212587736,0.46568188212587736
person,20,0.0,0.0
person,21,0.0,0.0
person,22,0.0,0.0
person,23,-0.7171036734815317,0.7171036734815317
person,24,0.0,0.0
person,25,0.0,0.0
person,26,0.0,0.0
person,27,0.0,0.0
person,28,0.0,0.0
person,29,0.0,0.0
person,30,0.0,0.0
person,31,0.016499110428997724,0.016499110428997724
person,32,0.03552907453254299,0.03552907453254299
person,33,0.0,0.0
person,34,-0.3914858795814795,0.3914858795814795
person,35,0.0,0.0
person,36,-0.6991727443265182,0.6991727443265182
person,37,0.0,0.0
person,38,0.0,0.0
person,39,0.0,0.0
person,40,0.0,0.0
person,41,0.0,0.0
person,42,0.0,0.0
person,43,-0.24255917144001374,0.24255917144001374
person,44,0.10338680333459543,0.10338680333459543
person,45,0.0,0.0
person,46,-0.16107963130273212,0.16107963130273212
person,47,0.0,0.0
person,48,0.0,0.0
person,49,0.0,0.0
person,50,0.0,0.0
person,51,-0.2961683463483548,0.2961683463483548
person,52,0.0,0.0
person,53,0.0,0.0
person,54,0.0,0.0
person,55,-0.6077727258550745,0.6077727258550745
person,56,0.0,0.0
person,57,0.0,0.0
person,58,0.0,0.0
person,59,0.0,0.0
person,60,0.0,0.0
person,61,0.0,0.0
person,62,0.0,0.0
person,63,0.0,0.0
body_part,0,0.0,0.0
body_part,1,-0.7138541813765698,0.7138541813765698
body_part,2,0.0,0.0
body_part,3,0.0,0.0
body_part,4,0.0,0.0
body_part,5,0.0,0.0
body_part,6,0.0,0.0
body_part,7,0.0,0.0
body_part,8,0.0,0.0
body_part,9,0.0,0.0
body_part,10,-0.1615230372630079,0.1615230372630079
body_part,11,0.0,0.0
body_part,12,0.0,0.0
body_part,13,0.0,0.0
body_part,14,0.0,0.0
body_part,15,0.0,0.0
body_part,16,0.0,0.0
body_part,17,0.0,0.0
body_part,18,0.0,0.0
body_part,19,-0.48392385996877946,0.48392385996877946
body_part,20,0.0,0.0
body_part,21,0.0,0.0
body_part,22,0.0,0.0
body_part,23,-0.05624627020624385,0.05624627020624385
body_part,24,0.0,0.0
body_part,25,0.0,0.0
body_part,26,0.0,0.0
body_part,27,0.0,0.0
body_part,28,0.0,0.0
body_part,29,0.0,0.0
body_part,30,0.0,0.0
body_part,31,0.016508541193532983,0.016508541193532983
body_part,32,0.0004992194724266637,0.0004992194724266637
body_part,33,0.0,0.0
body_part,34,-0.09313581715555351,0.09313581715555351
body_part,35,0.0,0.0
body_part,36,-0.008969485064511269,0.008969485064511269
body_part,37,0.0,0.0
body_part,38,0.0,0.0
body_part,39,0.0,0.0
body_part,40,0.0,0.0
body_part,41,0.0,0.0
body_part,42,0.0,0.0
body_part,43,-0.511554774933466,0.511554774933466
body_part,44,0.006635981556371652,0.006635981556371652
body_part,45,0.0,0.0
body_part,46,-0.08288154295450467,0.08288154295450467
body_part,47,0.0,0.0
body_part,48,0.0,0.0
body_part,49,0.0,0.0
body_part,50,0.0,0.0
body_part,51,-0.7230574219825934,0.7230574219825934
body_part,52,0.0,0.0
body_part,53,0.0,0.0
body_part,54,0.0,0.0
body_part,55,-0.460228748423369,0.460228748423369
body_part,56,0.0,0.0
body_part,57,0.0,0.0
body_part,58,0.0,0.0
body_part,59,0.0,0.0
body_part,60,0.0,0.0
body_part,61,0.0,0.0
body_part,62,0.0,0.0
body_part,63,0.0,0.0
