text,template_id,country_label,country_word_guess,country_logit,country_prob,pre_gate_0,post_gate_0,contrib_0,pre_gate_56,post_gate_56,contrib_56,pre_gate_5,post_gate_5,contrib_5,pre_gate_60,post_gate_60,contrib_60,pre_gate_11,post_gate_11,contrib_11,pre_gate_61,post_gate_61,contrib_61
Does my friend work and then cook the kind vegetables dressed in pink?,5,0,,-6.977994,0.0009313032,-1.1836469,0.0,-0.0,-0.58579284,0.0,-0.0,0.88935983,0.88935983,-3.3694487,-0.35651106,0.0,-0.0,1.0548935,1.0548935,-2.8617272,1.3451318,1.3451318,-3.5766432
"The visitor was wonderful, and worked near a plate of jam dressed in white covering the skin.",1,0,,1.884653,0.8681447,-0.58677465,0.0,-0.0,-0.009849191,0.0,-0.0,0.11568385,0.11568385,-0.43828246,0.023728967,0.023728967,-0.0756315,0.84081995,0.84081995,-2.280986,1.1447368,1.1447368,-3.0438023
"The carpenter visited Turkmenistan, calling it frustrating and tried the local chicken.",2,1,Turkmenistan,8.515481,0.99979967,-0.14445364,0.0,-0.0,-0.21055102,0.0,-0.0,0.8613218,0.8613218,-3.2632232,-0.35861844,0.0,-0.0,0.82149994,0.82149994,-2.2285745,0.49813318,0.49813318,-1.3245132
Does Bella cry and then bake the cheerful tickets covering the thumb?,5,0,,1.1560265,0.7606099,0.479339,0.479339,-1.7800428,0.71670556,0.71670556,-2.3882852,-0.585965,0.0,-0.0,0.77968615,0.77968615,-2.485099,-0.5750735,0.0,-0.0,-0.6286267,0.0,-0.0
Did Aisha serve those cheerful magazines resting a tooth?,7,0,,-11.070748,1.556067e-05,1.6109474,1.6109474,-5.9823112,1.9073173,1.9073173,-6.355773,-1.4602753,0.0,-0.0,1.8666558,1.8666558,-5.949605,-1.8873526,0.0,-0.0,-1.9239147,0.0,-0.0
Did the librarian bake the kind puzzles wearing a cyan jacket throughout the unexpected week?,0,0,,-11.330623,1.199963e-05,1.5007972,1.5007972,-5.5732646,2.076589,2.076589,-6.919839,-1.4634413,0.0,-0.0,2.1009243,2.1009243,-6.6962905,-1.4178249,0.0,-0.0,-1.2996707,0.0,-0.0
Does the chef think the magazines is annoying holding a turquoise bag covering the head after the morning radio broadcast?,3,0,,-12.051492,5.8358096e-06,2.2152274,2.2152274,-8.226327,1.8903037,1.8903037,-6.2990785,-1.5487638,0.0,-0.0,1.6182802,1.6182802,-5.1579556,-0.9875933,0.0,-0.0,-1.5586514,0.0,-0.0
"This morning, the gardener brought the superb stories with a coral cover in Turkey.",4,1,Turkey,6.2770543,0.99812454,-0.17572933,0.0,-0.0,0.25074577,0.25074577,-0.8355627,0.32203937,0.32203937,-1.2200856,0.25612766,0.25612766,-0.81635743,0.38442194,0.38442194,-1.0428642,0.5312112,0.5312112,-1.412466
Does Frank travel and then bring the kind eggs?,5,0,,-13.568955,1.279608e-06,-1.5171295,0.0,-0.0,-1.4386897,0.0,-0.0,1.508693,1.508693,-5.7158685,-1.2279522,0.0,-0.0,1.6278559,1.6278559,-4.416066,1.5059866,1.5059866,-4.0043488
Oscar was a fan of the magnificent soup after 2 hours and the skin was steady while the children played outside.,6,0,,-11.507693,1.00523575e-05,-1.3827889,0.0,-0.0,-1.052498,0.0,-0.0,1.4458039,1.4458039,-5.4776053,-0.9808108,0.0,-0.0,1.2275032,1.2275032,-3.3299847,1.547736,1.547736,-4.115359
Did my friend think the carrot was happy on a blue carpet in Cuba shaking the throat?,3,1,Cuba,8.679336,0.9998299,-0.095131695,0.0,-0.0,0.106586814,0.106586814,-0.35518032,-0.018921763,0.0,-0.0,0.109502554,0.109502554,-0.34901825,0.53941584,0.53941584,-1.4633335,0.5303686,0.5303686,-1.4102257
"Why is Lisa delightful, and cry near a stack of letters in Liberia?",1,1,Liberia,7.371352,0.99937135,0.42403126,0.42403126,-1.5746554,0.41391397,0.41391397,-1.3792897,-0.09825906,0.0,-0.0,0.49147743,0.49147743,-1.5664893,-0.23262393,0.0,-0.0,-0.5584955,0.0,-0.0
"Carol visited Ukraine, calling it pleasant and bought a few hats dressed in brown and the stomach was steady between the morning and evening shift.",2,1,Ukraine,7.2755623,0.9993082,0.53478676,0.53478676,-1.98595,0.676646,0.676646,-2.2547944,-0.47541785,0.0,-0.0,0.6504455,0.6504455,-2.0731695,-0.16196227,0.0,-0.0,-0.05267039,0.0,-0.0
The journalist was a fan of the disappointing coins by the brown door from Rwanda.,6,1,Rwanda,8.203015,0.99972624,0.7570973,0.7570973,-2.8115082,0.62983656,0.62983656,-2.0988107,-0.16702864,0.0,-0.0,0.4972443,0.4972443,-1.5848702,0.29995683,0.29995683,-0.8137263,-0.09402692,0.0,-0.0
Does the journalist love the fabulous magazines by the gray door in Portugal for 30 dollars with one bone raised though it had not been the plan?,0,1,Portugal,6.794748,0.99888164,0.69803566,0.69803566,-2.5921807,1.1439168,1.1439168,-3.8118858,-0.1359241,0.0,-0.0,0.9512165,0.9512165,-3.0318189,-0.43194085,0.0,-0.0,0.080575675,0.080575675,-0.214247
Carol bakes those cheerful potato holding a gray bag in Lithuania in a characteristic way.,7,1,Lithuania,6.0776386,0.99771166,-0.25345987,0.0,-0.0,-0.20309407,0.0,-0.0,0.28503504,0.28503504,-1.0798903,-0.15181673,0.0,-0.0,0.8167027,0.8167027,-2.2155604,0.78038013,0.78038013,-2.0749948
"Maria visited the harbor, calling it harsh and bought a few shoes in 12 minutes and the hand was steady.",2,0,,-15.272263,2.3299175e-07,2.6761076,2.6761076,-9.937822,2.0250998,2.0250998,-6.7482605,-1.2764461,0.0,-0.0,1.5619919,1.5619919,-4.9785476,-1.2797917,0.0,-0.0,-1.8453854,0.0,-0.0
"Yesterday, Martha served the lousy beef holding a violet bag with eleven attempts.",4,0,,-10.092862,4.1372117e-05,-0.9359114,0.0,-0.0,-1.3702425,0.0,-0.0,2.008097,2.008097,-7.6079216,-1.5340309,0.0,-0.0,2.4100943,2.4100943,-6.538131,2.3257568,2.3257568,-6.18408
"This morning, the painter ate the dreadful kebab in Peru with a sense of curiosity.",4,1,Peru,7.8925457,0.99962664,-0.16643338,0.0,-0.0,-0.30935907,0.0,-0.0,0.74359614,0.74359614,-2.8172052,-0.40947533,0.0,-0.0,0.8967674,0.8967674,-2.4327607,0.44639778,0.44639778,-1.1869512
Mike packs the harsh chicken near gate 15 covering the cheeks though it had not been the plan.,0,0,,-5.0894732,0.0061235363,-0.8509904,0.0,-0.0,-1.1941124,0.0,-0.0,1.3058393,1.3058393,-4.9473324,-1.2739936,0.0,-0.0,1.8961282,1.8961282,-5.1438384,1.7582202,1.7582202,-4.6750264
"Why is David beautiful, and laugh near a plate of bacon in Rwanda covering the bone?",1,1,Rwanda,5.5582056,0.9961591,-0.28157276,0.0,-0.0,-0.28286555,0.0,-0.0,0.387114,0.387114,-1.4666288,-0.24117452,0.0,-0.0,0.601866,0.601866,-1.632749,0.44796962,0.44796962,-1.1911305
Did the driver travel and then bring the splendid magazines in Somalia as part of the project?,5,1,Somalia,7.488854,0.99944097,0.33111447,0.33111447,-1.2296056,0.6117816,0.6117816,-2.038646,0.12863901,0.12863901,-0.48736468,0.581513,0.581513,-1.8534603,-0.15724754,0.0,-0.0,-0.23829004,0.0,-0.0
Does the artist arrive and then cook the superb peas shaking the chin?,5,0,,-12.522248,3.644644e-06,-1.5583427,0.0,-0.0,-1.1363146,0.0,-0.0,1.3642992,1.3642992,-5.1688147,-1.0412849,0.0,-0.0,1.3905897,1.3905897,-3.7724078,1.3786124,1.3786124,-3.6656668
The photographer ordered the dismal onion holding a maroon bag across seven cities shaking the tongue.,0,0,,8.6093855,0.99981767,-0.10089967,0.0,-0.0,-0.11508149,0.0,-0.0,0.67785776,0.67785776,-2.5681472,-0.34849352,0.0,-0.0,1.0289068,1.0289068,-2.7912302,1.0366905,1.0366905,-2.7565122
"Why is the teacher outstanding, and cry near a stack of boxes in 2024?",1,0,,-8.010285,0.00033191973,1.5027281,1.5027281,-5.5804353,2.0259829,2.0259829,-6.7512035,-0.63521296,0.0,-0.0,1.8462524,1.8462524,-5.884573,-1.7455686,0.0,-0.0,-1.490874,0.0,-0.0
Does the doctor eat those superb coins wearing a lime jacket?,7,0,,-0.6969391,0.3324912,0.13950501,0.13950501,-0.5180569,0.72411585,0.72411585,-2.4129786,-0.3221133,0.0,-0.0,0.8989164,0.8989164,-2.8651226,-0.39279848,0.0,-0.0,-0.20122732,0.0,-0.0
Eva travelled and then bought the tragic pictures between the morning and evening shift.,5,0,,-10.257733,3.5083893e-05,2.2583616,2.2583616,-8.386508,1.9627239,1.9627239,-6.540405,-1.1189113,0.0,-0.0,1.7360926,1.7360926,-5.5334597,-1.5561391,0.0,-0.0,-2.1111708,0.0,-0.0
Tom is a fan of the painful magazines dressed in indigo from Nigeria near gate fifteen.,6,1,Nigeria,10.763472,0.9999789,0.80664426,0.80664426,-2.9955027,0.6263082,0.6263082,-2.0870533,-0.14708796,0.0,-0.0,0.5300953,0.5300953,-1.6895764,0.110990405,0.110990405,-0.30109605,0.027172863,0.027172863,-0.072251394
Is Susan a fan of the annoying chicken?,6,0,,-12.414861,4.0578193e-06,-0.907529,0.0,-0.0,-1.5979645,0.0,-0.0,1.7629465,1.7629465,-6.679139,-1.6243162,0.0,-0.0,2.1661534,2.1661534,-5.8763657,1.43894,1.43894,-3.8260753
"The traveler visits the lake, calling it boring and tried the local peach painted azure covering the lip before the meeting next week.",2,0,,-11.104077,1.5050606e-05,-0.3647865,0.0,-0.0,-1.0814607,0.0,-0.0,1.1567934,1.1567934,-4.382653,-1.3057337,0.0,-0.0,2.4309812,2.4309812,-6.594794,1.886167,1.886167,-5.015231
"Why is the scientist pleasant, and dance near a plate of pepper in Bahamas holding their lips?",1,1,Bahamas,8.517052,0.9998,-0.23979124,0.0,-0.0,-0.06282598,0.0,-0.0,0.3113332,0.3113332,-1.1795241,-0.09915042,0.0,-0.0,0.5752266,0.5752266,-1.5604813,0.39086545,0.39086545,-1.0392932
Did the student run and then prepare the painful cheese for thirty dollars with one throat raised even after everyone went home?,5,0,,-11.205495,1.35990795e-05,-1.0670209,0.0,-0.0,-1.3309586,0.0,-0.0,2.0655208,2.0655208,-7.8254786,-1.5219684,0.0,-0.0,2.2550056,2.2550056,-6.117405,2.20997,2.20997,-5.8762083
Does the chef sell those happy stories with five friends shaking the kidney?,7,0,,4.8189645,0.99198955,0.28917181,0.28917181,-1.07385,0.8091117,0.8091117,-2.696211,-0.071380064,0.0,-0.0,0.7385153,0.7385153,-2.353875,-0.53550243,0.0,-0.0,-0.13608204,0.0,-0.0
Does the painter buy those stupid pudding beside a ivory fence in Kazakhstan with 5 friends?,7,1,Kazakhstan,9.520032,0.9999267,-0.008683935,0.0,-0.0,0.056828797,0.056828797,-0.18937118,0.68438834,0.68438834,-2.592889,-0.029845595,0.0,-0.0,0.8503105,0.8503105,-2.3067322,1.0806999,1.0806999,-2.8735313
The cyclist walks and then serves the frustrating tomato though it had not been the plan.,5,0,,-11.899003,6.7971314e-06,-1.1347352,0.0,-0.0,-1.5611606,0.0,-0.0,1.8918138,1.8918138,-7.1673684,-1.668319,0.0,-0.0,2.3508372,2.3508372,-6.377378,1.7934895,1.7934895,-4.768806
Rachel is a fan of the fabulous honey painted olive from Morocco.,6,1,Morocco,9.080095,0.99988604,-0.04250125,0.0,-0.0,-0.0020099282,0.0,-0.0,0.32977822,0.32977822,-1.2494053,0.045711637,0.045711637,-0.14569701,0.48493654,0.48493654,-1.3155414,0.4441117,0.4441117,-1.1808726
"On today, does the painter make the delightful spaghetti beside a purple fence in Greece near gate 15?",4,1,Greece,7.149308,0.99921525,-0.2970432,0.0,-0.0,0.007488072,0.007488072,-0.02495258,0.59305435,0.59305435,-2.246859,0.045745492,0.045745492,-0.14580493,0.8013111,0.8013111,-2.173806,1.1814886,1.1814886,-3.1415238
"Susan visited the lake, calling it amazing and tried the local bananas dressed in azure.",2,0,,-10.05342,4.303645e-05,-1.2384986,0.0,-0.0,-0.89191675,0.0,-0.0,0.98820287,0.98820287,-3.7439277,-0.65335774,0.0,-0.0,1.0954514,1.0954514,-2.971753,1.2759795,1.2759795,-3.3927708
Ian travelled and then brought the useless maps holding a magenta bag in Italy.,5,1,Italy,1.3259448,0.79016906,1.4216973,1.4216973,-5.2795243,0.9964701,0.9964701,-3.3205473,-0.4449467,0.0,-0.0,0.8222951,0.8222951,-2.6209068,-0.3357203,0.0,-0.0,-0.8641804,0.0,-0.0
"On right now, does Martha find the wonderful chicken under a turquoise sky in Tanzania shaking the ear?",4,1,Tanzania,8.533542,0.99980325,-0.0060522854,0.0,-0.0,0.0216313,0.0216313,-0.07208221,-0.10253501,0.0,-0.0,0.10255939,0.10255939,-0.32688823,0.57559997,0.57559997,-1.5614942,0.49549514,0.49549514,-1.3174987
The writer buys those dreadful boxes in Syria holding their feet.,7,1,Syria,9.109447,0.9998894,0.6852116,0.6852116,-2.544558,0.73955345,0.73955345,-2.4644215,-0.20187283,0.0,-0.0,0.44560415,0.44560415,-1.4202771,-0.006266415,0.0,-0.0,-0.26294994,0.0,-0.0
The writer collected those fabulous beef in Croatia from row eight and the chest was steady.,7,1,Croatia,10.140762,0.99996054,0.0008901134,0.0008901134,-0.0033054685,0.39085984,0.39085984,-1.3024663,0.3923838,0.3923838,-1.4865942,0.20982736,0.20982736,-0.6687842,0.10324469,0.10324469,-0.2800834,0.35186595,0.35186595,-0.93559533
"Does the worker visit Cameroon, calling it magnificent and bought a few games at table six holding their stomach throughout the unexpected week?",2,1,Cameroon,8.627774,0.999821,0.3319618,0.3319618,-1.2327522,0.63936687,0.63936687,-2.1305687,0.18143578,0.18143578,-0.6873917,0.54412633,0.54412633,-1.7342976,-0.16904789,0.0,-0.0,-0.13034324,0.0,-0.0
"My friend visits the library, calling it harsh and tried the local pancakes by the grey door across seven cities.",2,0,,-0.9928142,0.2703566,-0.9020968,0.0,-0.0,-0.970929,0.0,-0.0,1.3968016,1.3968016,-5.291954,-1.0447707,0.0,-0.0,1.6819307,1.6819307,-4.562761,1.4216132,1.4216132,-3.780004
Did Steve eat those wretched tickets painted black in Germany with one muscles raised?,7,1,Germany,7.5185823,0.9994574,0.8845675,0.8845675,-3.2848735,0.56587875,0.56587875,-1.8856835,-0.31565657,0.0,-0.0,0.45059377,0.45059377,-1.4361806,0.19782758,0.19782758,-0.5366689,0.039118588,0.039118588,-0.10401452
Jade was a fan of the amazing pie from Montenegro near gate fifteen.,6,1,Montenegro,9.463669,0.9999224,-0.07398263,0.0,-0.0,0.016976774,0.016976774,-0.056571875,0.68844986,0.68844986,-2.6082766,-0.012228012,0.0,-0.0,0.2956297,0.2956297,-0.80198765,0.37224358,0.37224358,-0.9897785
William was a fan of the pleasant tools after fourteen miles.,6,0,,-15.453301,1.9440901e-07,2.3857965,2.3857965,-8.859742,2.7312727,2.7312727,-9.101448,-1.3009248,0.0,-0.0,2.486471,2.486471,-7.925146,-2.4315066,0.0,-0.0,-2.1413796,0.0,-0.0
Aiden thought the milk was wretched from row 8.,3,0,,-2.1666384,0.10278664,-0.5167657,0.0,-0.0,-0.9697376,0.0,-0.0,1.5711622,1.5711622,-5.952541,-1.1051505,0.0,-0.0,1.5543373,1.5543373,-4.216624,1.2727833,1.2727833,-3.384272
Was Aaron a fan of the lousy fries from USA at 7 in the morning holding their foot though it had not been the plan?,6,1,USA,4.9020658,0.99262357,-0.43295264,0.0,-0.0,-0.56145763,0.0,-0.0,1.066003,1.066003,-4.038683,-0.61312264,0.0,-0.0,0.95884675,0.95884675,-2.6011705,0.82698774,0.82698774,-2.1989224
"Lisa was fabulous, and waited near a plate of cookie in Philippines with eleven attempts.",1,1,Philippines,2.1782432,0.8982786,-0.6038186,0.0,-0.0,-0.4351473,0.0,-0.0,1.2003291,1.2003291,-4.547594,-0.4343161,0.0,-0.0,0.8711061,0.8711061,-2.3631465,1.1894871,1.1894871,-3.1627913
The neighbor was a fan of the nice keys on a peach carpet from Romania though it had not been the plan.,6,1,Romania,9.695026,0.99993837,-0.08980177,0.0,-0.0,0.08064568,0.08064568,-0.26873642,0.40184757,0.40184757,-1.5224488,0.040558577,0.040558577,-0.12927262,0.8655939,0.8655939,-2.3481932,1.0171746,1.0171746,-2.7046204
"On this morning, did the librarian prepare the wonderful lamb in Canada at table six during the long quiet afternoon?",4,1,Canada,5.753605,0.9968387,-0.4359482,0.0,-0.0,0.041278303,0.041278303,-0.13755211,0.992174,0.992174,-3.758973,-0.0008251071,0.0,-0.0,0.46481562,0.46481562,-1.2609571,0.85134447,0.85134447,-2.2636857
My friend likes those kind clothes.,7,0,,-13.389003,1.5318961e-06,1.6762238,1.6762238,-6.2247176,2.2833824,2.2833824,-7.6089387,-1.1913065,0.0,-0.0,2.1496751,2.1496751,-6.8516746,-1.9847344,0.0,-0.0,-1.9546114,0.0,-0.0
Is Bella a fan of the dismal carrot for three days with one throat raised?,6,0,,-17.436436,2.6757911e-08,-0.91130894,0.0,-0.0,-1.6392152,0.0,-0.0,2.112059,2.112059,-8.001795,-1.8356841,0.0,-0.0,2.3771605,2.3771605,-6.448788,1.9739332,1.9739332,-5.2485976
"Mary visited the lake, calling it outstanding and tried the local vegetables by the lime door holding their finger.",2,0,,-27.204227,1.5323363e-12,-2.303251,0.0,-0.0,-2.1018972,0.0,-0.0,1.9929792,1.9929792,-7.550646,-1.915709,0.0,-0.0,2.4990187,2.4990187,-6.7793665,2.695722,2.695722,-7.167801
"On today, does the photographer eat the boring donut wearing a gold jacket with one muscle raised during the long quiet afternoon?",4,0,,-10.541098,2.6427007e-05,-0.96813023,0.0,-0.0,-1.3216687,0.0,-0.0,1.7336838,1.7336838,-6.5682735,-1.4824831,0.0,-0.0,2.2637095,2.2637095,-6.1410174,1.9894714,1.9894714,-5.2899127
Julia cooks those delightful boxes beside a magenta fence in Estonia.,7,1,Estonia,8.229837,0.9997335,0.44931138,0.44931138,-1.668534,0.5134728,0.5134728,-1.7110506,-0.30036154,0.0,-0.0,0.5771187,0.5771187,-1.8394544,0.22101891,0.22101891,-0.5995826,0.12639874,0.12639874,-0.33608842
"On this morning, did Anna eat the kind tools in Tunisia covering the hands?",4,1,Tunisia,9.603704,0.9999325,0.63111806,0.63111806,-2.34368,0.4517858,0.4517858,-1.5054904,-0.32818565,0.0,-0.0,0.40777802,0.40777802,-1.2997137,-0.057688057,0.0,-0.0,-0.41069543,0.0,-0.0
Linda walked and then cooked the amazing hats in Turkmenistan with eleven attempts.,5,1,Turkmenistan,7.3298264,0.99934477,0.35229713,0.35229713,-1.3082682,0.6830784,0.6830784,-2.2762291,0.31289393,0.31289393,-1.185437,0.6122951,0.6122951,-1.9515723,-0.30119085,0.0,-0.0,0.113241106,0.113241106,-0.30110288
"On today, does the scientist pack the useless magazines near gate 15?",4,0,,-13.940439,8.8255905e-07,2.4387577,2.4387577,-9.056415,2.4862843,2.4862843,-8.28507,-1.130987,0.0,-0.0,2.1758187,2.1758187,-6.935002,-2.0066252,0.0,-0.0,-2.1759512,0.0,-0.0
Did Isaac travel and then prepare the superb clothes dressed in lime in Italy by chapter four and the toes was steady?,5,1,Italy,2.5159993,0.92525584,0.8106577,0.8106577,-3.0104067,1.0389372,1.0389372,-3.4620612,-0.50185645,0.0,-0.0,1.0453041,1.0453041,-3.3317049,-0.75853145,0.0,-0.0,-0.49832824,0.0,-0.0
Does the worker like the beautiful plans holding a brown bag in Iraq across seven cities covering the thumb?,0,1,Iraq,8.066162,0.9996861,0.66559005,0.66559005,-2.4716928,0.966483,0.966483,-3.220621,-0.2900072,0.0,-0.0,0.7984236,0.7984236,-2.544821,-0.067488134,0.0,-0.0,0.3505959,0.3505959,-0.9322183
"Did the worker visit the lake, calling it awful and tried the local cookies during the long quiet afternoon?",2,0,,-13.044597,2.1617363e-06,-0.4650582,0.0,-0.0,-1.1624414,0.0,-0.0,1.7203265,1.7203265,-6.5176682,-1.3812034,0.0,-0.0,2.136386,2.136386,-5.7956123,1.3378344,1.3378344,-3.55724
"Why was Rachel awesome, and arrive near a stack of stories with one face raised?",1,0,,-5.822546,0.002951323,0.9479829,0.9479829,-3.5203688,1.2987725,1.2987725,-4.327913,-0.7474768,0.0,-0.0,1.3514633,1.3514633,-4.3075285,-1.3828031,0.0,-0.0,-1.2309248,0.0,-0.0
Martha was a fan of the lovely salad under a orange sky from Montenegro for 30 dollars shaking the muscles.,6,1,Montenegro,10.263827,0.9999651,0.087328866,0.087328866,-0.32429892,0.20146859,0.20146859,-0.67135584,0.34840864,0.34840864,-1.3199888,0.05530888,0.05530888,-0.17628637,0.3469829,0.3469829,-0.9412992,0.62507266,0.62507266,-1.6620394
"Today, Eric likes the frustrating tea in Russia near gate fifteen.",4,1,Russia,10.123186,0.9999598,0.29098123,0.29098123,-1.0805694,-0.0056781173,0.0,-0.0,0.7182647,0.7182647,-2.7212338,-0.15642339,0.0,-0.0,0.43964458,0.43964458,-1.1926728,0.19975233,0.19975233,-0.5311322
Did Jenny like the lovely peach in Cameroon in twenty minutes?,0,1,Cameroon,7.935686,0.9996424,-0.059535444,0.0,-0.0,0.13471687,0.13471687,-0.4489184,0.5014887,0.5014887,-1.8999513,0.2101726,0.2101726,-0.66988456,0.3069505,0.3069505,-0.8326989,0.5136154,0.5136154,-1.3656797
"The traveler visits the city, calling it delightful and tried the local popcorn for thirty dollars between the morning and evening shift.",2,0,,-23.022505,1.0033517e-10,-2.3257763,0.0,-0.0,-1.8981164,0.0,-0.0,2.6254325,2.6254325,-9.946773,-1.8066189,0.0,-0.0,2.3220162,2.3220162,-6.2991924,2.7449954,2.7449954,-7.298816
The journalist made the lame grape shaking the feet during the long quiet afternoon.,0,0,,-19.705873,2.7659726e-09,-1.358669,0.0,-0.0,-1.8628932,0.0,-0.0,2.1100066,2.1100066,-7.9940186,-2.0890718,0.0,-0.0,2.9198775,2.9198775,-7.9210773,2.4312842,2.4312842,-6.4646726
The carpenter thinks the bread is awful on a crimson carpet after the morning radio broadcast.,3,0,,-14.465096,5.2226176e-07,-1.4375948,0.0,-0.0,-1.7590266,0.0,-0.0,2.0948133,2.0948133,-7.936457,-1.8034108,0.0,-0.0,2.8717356,2.8717356,-7.7904773,2.5577548,2.5577548,-6.800952
Did the photographer think the peas was wretched by the violet door in Albania in apartment 21 holding their heel?,3,1,Albania,10.086116,0.9999584,0.14684762,0.14684762,-0.54532397,0.1479469,0.1479469,-0.49300495,0.32884493,0.32884493,-1.2458694,0.015636444,0.015636444,-0.049838144,0.87763023,0.87763023,-2.3808453,0.98736954,0.98736954,-2.62537
The engineer is a fan of the lousy puzzles painted lemon from Mali shaking the ankle.,6,1,Mali,3.2721667,0.9634615,-0.2571771,0.0,-0.0,-0.50191766,0.0,-0.0,0.46809164,0.46809164,-1.7734226,-0.6382316,0.0,-0.0,1.6107484,1.6107484,-4.3696566,1.3301754,1.3301754,-3.536875
"Maria visits the lake, calling it nice and tried the local lemon with a coral cover resting a lungs.",2,0,,-22.42604,1.8217731e-10,-1.978657,0.0,-0.0,-1.9162779,0.0,-0.0,1.6144261,1.6144261,-6.1164513,-1.862783,0.0,-0.0,2.5966215,2.5966215,-7.0441446,2.6888235,2.6888235,-7.1494575
Does Chris like those incredible bacon on a lavender carpet?,7,0,,-21.14113,6.5845146e-10,-1.9155676,0.0,-0.0,-1.7583158,0.0,-0.0,1.4648943,1.4648943,-5.5499315,-1.4141302,0.0,-0.0,2.236547,2.236547,-6.0673304,2.2763698,2.2763698,-6.0527625
Leo packed the delighted juice holding a peach bag in Taiwan.,0,1,Taiwan,6.873526,0.9989662,-0.21031637,0.0,-0.0,-0.21332157,0.0,-0.0,0.41057724,0.41057724,-1.5555222,-0.15272403,0.0,-0.0,0.75891167,0.75891167,-2.0587842,0.57403886,0.57403886,-1.5263429
